Name: CCTV-5＋高清, URL: http://221.237.137.137:4022/rtp/239.93.1.36:8004, Date: None, Resolution: 1920x1080, Response Time: 126fps
Name: CCTV-5＋高清, URL: http://222.209.219.78:4022/rtp/239.93.1.36:8004, Date: None, Resolution: 1920x1080, Response Time: 51fps
Name: CCTV-5＋高清, URL: http://171.223.215.229:4000/rtp/239.93.1.36:8004, Date: None, Resolution: 1920x1080, Response Time: 35fps
Name: CCTV-6高清, URL: http://110.191.246.230:8888/rtp/239.93.1.13:2226, Date: None, Resolution: 1920x1080, Response Time: 249fps
Name: CCTV-6高清, URL: http://171.217.146.166:8888/rtp/239.93.1.13:2226, Date: None, Resolution: 1920x1080, Response Time: 227fps
Name: CCTV-6高清, URL: http://118.114.168.57:8888/rtp/239.93.1.13:2226, Date: None, Resolution: 1920x1080, Response Time: 220fps
Name: CCTV-6高清, URL: http://118.122.103.228:4022/rtp/239.93.1.13:2226, Date: None, Resolution: 1920x1080, Response Time: 177fps
Name: CCTV-6高清, URL: http://221.237.33.33:4022/rtp/239.93.1.13:2226, Date: None, Resolution: 1920x1080, Response Time: 141fps
Name: CCTV-6高清, URL: http://125.69.147.107:8888/rtp/239.93.1.13:2226, Date: None, Resolution: 1920x1080, Response Time: 137fps
Name: CCTV-6高清, URL: http://61.188.254.120:9527/rtp/239.93.1.13:2226, Date: None, Resolution: 1920x1080, Response Time: 127fps
Name: CCTV-6高清, URL: http://222.209.219.78:4022/rtp/239.93.1.13:2226, Date: None, Resolution: 1920x1080, Response Time: 106fps
Name: CCTV-6高清, URL: http://vl15191373.imwork.net:8880/rtp/239.93.1.13:2226, Date: None, Resolution: 1920x1080, Response Time: 101fps
Name: CCTV-6高清, URL: http://221.237.137.137:4022/rtp/239.93.1.13:2226, Date: None, Resolution: 1920x1080, Response Time: 99fps
Name: CCTV-6高清, URL: http://182.150.171.62:4022/rtp/239.93.1.13:2226, Date: None, Resolution: 1920x1080, Response Time: 90fps
Name: CCTV-6高清, URL: http://182.149.86.232:58888/rtp/239.93.1.13:2226, Date: None, Resolution: 1920x1080, Response Time: 77fps
Name: CCTV-6高清, URL: http://182.149.86.235:58888/rtp/239.93.1.13:2226, Date: None, Resolution: 1920x1080, Response Time: 75fps
Name: CCTV-6高清, URL: http://171.214.202.98:4000/rtp/239.93.1.13:2226, Date: None, Resolution: 1920x1080, Response Time: 40fps
Name: CCTV-7高清, URL: http://118.114.168.57:8888/rtp/239.93.1.67:5140, Date: None, Resolution: 1920x1080, Response Time: 250fps
Name: CCTV-7高清, URL: http://110.191.246.230:8888/rtp/239.93.1.67:5140, Date: None, Resolution: 1920x1080, Response Time: 245fps
Name: CCTV-7高清, URL: http://171.217.146.166:8888/rtp/239.93.1.67:5140, Date: None, Resolution: 1920x1080, Response Time: 236fps
