央视频道,#genre#
青海卫视,http://110.191.246.230:8888/rtp/239.93.0.192:5140
青海卫视,http://171.88.37.49:4022/rtp/239.93.0.192:5140
青海卫视,http://125.69.147.107:8888/rtp/239.93.0.192:5140
宁夏卫视,http://182.149.86.235:58888/rtp/239.93.0.247:5140
宁夏卫视,http://110.191.246.230:8888/rtp/239.93.0.247:5140
宁夏卫视,http://171.88.37.49:4022/rtp/239.93.0.247:5140
西藏卫视,http://118.122.103.228:4022/rtp/239.93.0.175:5140
西藏卫视,http://110.191.246.230:8888/rtp/239.93.0.175:5140
西藏卫视,http://171.88.37.49:4022/rtp/239.93.0.175:5140
新疆卫视,http://vl15191373.imwork.net:8880/rtp/239.93.0.194:5140
新疆卫视,http://182.149.86.235:58888/rtp/239.93.0.194:5140
新疆卫视,http://110.191.246.230:8888/rtp/239.93.0.194:5140
海南卫视,http://182.149.86.235:58888/rtp/239.93.0.80:5140
海南卫视,http://110.191.246.230:8888/rtp/239.93.0.80:5140
海南卫视,http://171.88.37.49:4022/rtp/239.93.0.80:5140
陕西农林,http://110.191.246.230:8888/rtp/239.93.0.100:5140
陕西农林,http://171.88.37.49:4022/rtp/239.93.0.100:5140
陕西农林,http://171.217.146.166:8888/rtp/239.93.0.100:5140
兵团卫视,http://182.149.86.235:58888/rtp/239.93.42.43:5140
兵团卫视,http://110.191.246.230:8888/rtp/239.93.42.43:5140
兵团卫视,http://171.88.37.49:4022/rtp/239.93.42.43:5140
峨眉电影,http://110.191.246.230:8888/rtp/239.93.0.252:5140
峨眉电影,http://171.217.146.166:8888/rtp/239.93.0.252:5140
峨眉电影,http://118.114.168.57:8888/rtp/239.93.0.252:5140
厦门卫视,http://vl15191373.imwork.net:8880/rtp/239.93.42.57:5140
厦门卫视,http://182.149.86.235:58888/rtp/239.93.42.57:5140
厦门卫视,http://110.191.246.230:8888/rtp/239.93.42.57:5140
三沙卫视,http://110.191.246.230:8888/rtp/239.93.42.58:5140
三沙卫视,http://171.88.37.49:4022/rtp/239.93.42.58:5140
三沙卫视,http://125.69.147.107:8888/rtp/239.93.42.58:5140

数字频道,#genre#
收视指南,http://vl15191373.imwork.net:8880/rtp/239.93.0.195:8012
收视指南,http://110.191.246.230:8888/rtp/239.93.0.195:8012
收视指南,http://171.88.37.49:4022/rtp/239.93.0.195:8012
经典电影,http://110.191.246.230:8888/rtp/239.93.0.57:9024
经典电影,http://171.88.37.49:4022/rtp/239.93.0.57:9024
经典电影,http://125.69.147.107:8888/rtp/239.93.0.57:9024
华语影院,http://171.88.37.49:4022/rtp/239.93.0.138:5140
华语影院,http://110.191.246.230:8888/rtp/239.93.0.138:5140
华语影院,http://171.217.146.166:8888/rtp/239.93.0.138:5140
星光院线,http://171.88.37.49:4022/rtp/239.93.0.139:5140
星光院线,http://171.217.146.166:8888/rtp/239.93.0.139:5140
星光院线,http://118.114.168.57:8888/rtp/239.93.0.139:5140
全球大片,http://110.191.246.230:8888/rtp/239.93.0.105:5140
全球大片,http://171.88.37.49:4022/rtp/239.93.0.105:5140
全球大片,http://171.217.146.166:8888/rtp/239.93.0.105:5140
热播剧场,http://vl15191373.imwork.net:8880/rtp/239.93.0.56:9020
热播剧场,http://182.149.86.235:58888/rtp/239.93.0.56:9020
热播剧场,http://110.191.246.230:8888/rtp/239.93.0.56:9020
热门剧场,http://118.122.103.228:4022/rtp/239.93.0.140:5140
热门剧场,http://110.191.246.230:8888/rtp/239.93.0.140:5140
热门剧场,http://171.88.37.49:4022/rtp/239.93.0.140:5140
港剧风云,http://118.122.103.228:4022/rtp/239.93.0.143:5140
港剧风云,http://171.88.37.49:4022/rtp/239.93.0.143:5140
港剧风云,http://61.188.254.120:9527/rtp/239.93.0.143:5140
谍战剧场,http://110.191.246.230:8888/rtp/239.93.0.95:5140
谍战剧场,http://171.88.37.49:4022/rtp/239.93.0.95:5140
谍战剧场,http://171.217.146.166:8888/rtp/239.93.0.95:5140
热门综艺高清,http://vl15191373.imwork.net:8880/rtp/239.93.0.151:5140
热门综艺高清,http://wouu.net:9977/rtp/239.93.0.151:5140
热门综艺高清,http://182.149.86.235:58888/rtp/239.93.0.151:5140
音乐现场高清,http://vl15191373.imwork.net:8880/rtp/239.93.0.198:9044
音乐现场高清,http://182.149.86.235:58888/rtp/239.93.0.198:9044
音乐现场高清,http://110.191.246.230:8888/rtp/239.93.0.198:9044
足球高清,http://vl15191373.imwork.net:8880/rtp/239.93.0.197:9040
足球高清,http://182.149.86.235:58888/rtp/239.93.0.197:9040
足球高清,http://110.191.246.230:8888/rtp/239.93.0.197:9040
纪实人文,http://110.191.246.230:8888/rtp/239.93.1.154:5140
纪实人文,http://171.88.37.49:4022/rtp/239.93.1.154:5140
纪实人文,http://125.69.147.107:8888/rtp/239.93.1.154:5140
军事高清,http://vl15191373.imwork.net:8880/rtp/239.93.0.204:9076
军事高清,http://110.191.246.230:8888/rtp/239.93.0.204:9076
军事高清,http://171.88.37.49:4022/rtp/239.93.0.204:9076
解密高清,http://vl15191373.imwork.net:8880/rtp/239.93.0.199:9048
解密高清,http://110.191.246.230:8888/rtp/239.93.0.199:9048
解密高清,http://171.88.37.49:4022/rtp/239.93.0.199:9048
地理高清,http://vl15191373.imwork.net:8880/rtp/239.93.0.200:9052
地理高清,http://110.191.246.230:8888/rtp/239.93.0.200:9052
地理高清,http://171.88.37.49:4022/rtp/239.93.0.200:9052
爱怀旧高清,http://118.122.103.228:4022/rtp/239.93.42.21:5140
爱怀旧高清,http://171.217.146.166:8888/rtp/239.93.42.21:5140
爱怀旧高清,http://118.114.168.57:8888/rtp/239.93.42.21:5140
爱喜剧高清,http://110.191.246.230:8888/rtp/239.93.42.9:5140
爱喜剧高清,http://171.217.146.166:8888/rtp/239.93.42.9:5140
爱喜剧高清,http://118.122.103.228:4022/rtp/239.93.42.9:5140
爱奇谈高清,http://171.217.146.166:8888/rtp/239.93.42.22:5140
爱奇谈高清,http://110.191.246.230:8888/rtp/239.93.42.22:5140
爱奇谈高清,http://118.122.103.228:4022/rtp/239.93.42.22:5140
爱科幻高清,http://171.217.146.166:8888/rtp/239.93.42.10:5140
爱科幻高清,http://110.191.246.230:8888/rtp/239.93.42.10:5140
爱科幻高清,http://118.114.168.57:8888/rtp/239.93.42.10:5140
爱院线高清,http://118.122.103.228:4022/rtp/239.93.42.11:5140
爱院线高清,http://110.191.246.230:8888/rtp/239.93.42.11:5140
爱院线高清,http://118.114.168.57:8888/rtp/239.93.42.11:5140
幸福剧场,http://110.191.246.230:8888/rtp/239.93.42.30:5140
幸福剧场,http://171.217.146.166:8888/rtp/239.93.42.30:5140
幸福剧场,http://61.188.254.15:9527/rtp/239.93.42.30:5140
爱谍战高清,http://110.191.246.230:8888/rtp/239.93.42.14:5140
爱谍战高清,http://171.217.146.166:8888/rtp/239.93.42.14:5140
爱谍战高清,http://118.122.103.228:4022/rtp/239.93.42.14:5140
爱经典高清,http://110.191.246.230:8888/rtp/239.93.42.13:5140
爱经典高清,http://171.217.146.166:8888/rtp/239.93.42.13:5140
爱经典高清,http://118.114.168.57:8888/rtp/239.93.42.13:5140
爱悬疑高清,http://118.114.168.57:8888/rtp/239.93.42.12:5140
爱悬疑高清,http://110.191.246.230:8888/rtp/239.93.42.12:5140
爱悬疑高清,http://182.148.142.182:8888/rtp/239.93.42.12:5140
爱青春高清,http://110.191.246.230:8888/rtp/239.93.42.16:5140
爱青春高清,http://118.122.103.228:4022/rtp/239.93.42.16:5140
爱青春高清,http://118.114.168.57:8888/rtp/239.93.42.16:5140
爱动漫高清,http://118.114.168.57:8888/rtp/239.93.42.23:5140
爱动漫高清,http://110.191.246.230:8888/rtp/239.93.42.23:5140
爱动漫高清,http://171.217.146.166:8888/rtp/239.93.42.23:5140
求索频道高清,http://171.217.146.166:8888/rtp/239.93.42.24:5140
求索频道高清,http://118.114.168.57:8888/rtp/239.93.42.24:5140
求索频道高清,http://110.191.246.230:8888/rtp/239.93.42.24:5140
爱电竞高清,http://110.191.246.230:8888/rtp/239.93.42.19:5140
爱电竞高清,http://171.217.146.166:8888/rtp/239.93.42.19:5140
爱电竞高清,http://118.114.168.57:8888/rtp/239.93.42.19:5140
爱赛车高清,http://118.114.168.57:8888/rtp/239.93.42.20:5140
爱赛车高清,http://110.191.246.230:8888/rtp/239.93.42.20:5140
爱赛车高清,http://61.188.254.120:9527/rtp/239.93.42.20:5140

